Id,Nota_final,,,,,,,,,,,,Quiz 8,Quiz 9
12016-1,4.22,,,,,,,,,,,,4.7,3.5
12016-2,C,,,,,,,,,,,,C,C
12016-3,3,,,,,,,,,,,,0,0
12016-4,1.38,,,,,,,,,,,,0,0
12016-5,3.55,,,,,,,,,,,,2.3,3.5
12016-6,2.99,,,,,,,,,,,,0,0
12016-7,2.85,,,,,,,,,,,,3.3,3.5
12016-8,4.18,,,,,,,,,,,,2.3,3.5
12016-9,2.99,,,,,,,,,,,,0,0
12016-10,2.15,,,,,,,,,,,,0,0
12016-11,3.3,,,,,,,,,,,,4.7,3.5
12016-12,C,,,,,,,,,,,,C,C
12016-13,3.47,,,,,,,,,,,,3.3,3.5
12016-14,3.34,,,,,,,,,,,,4.7,3.5
12016-15,3.87,,,,,,,,,,,,2.3,3.5
12016-16,4.17,,,,,,,,,,,,3,3.5
12016-17,3.55,,,,,,,,,,,,0.5,0
12016-18,4.1,,,,,,,,,,,,4.7,3.5
12016-19,3.52,,,,,,,,,,,,4.3,3.5
12016-20,2.96,,,,,,,,,,,,2.3,3.2
12016-21,1.8,,,,,,,,,,,,2,0
12016-22,3.93,,,,,,,,,,,,4.3,3.5
12016-23,C,,,,,,,,,,,,C,C
12016-24,3.4,,,,,,,,,,,,3,3
22016-1,C,,,,,,,,,,,,,
22016-2,3.2,,,,,,,,,,,,,
22016-3,3.52,,,,,,,,,,,,,
22016-4,0.33,,,,,,,,,,,,,
22016-5,3.24,,,,,,,,,,,,,
22016-6,1.98,,,,,,,,,,,,,
22016-7,3.27,,,,,,,,,,,,,
22016-8,3.41,,,,,,,,,,,,,
22016-9,2.01,,,,,,,,,,,,,
22016-10,3.43,,,,,,,,,,,,,
22016-11,3.54,,,,,,,,,,,,,
22016-12,1.97,,,,,,,,,,,,,
22016-13,2.71,,,,,,,,,,,,,
22016-14,0.65,,,,,,,,,,,,,
22016-15,3.66,,,,,,,,,,,,,
22016-16,C,,,,,,,,,,,,,
22016-17,C,,,,,,,,,,,,,
22016-18,3.15,,,,,,,,,,,,,
22016-19,1.59,,,,,,,,,,,,,
22016-20,C,,,,,,,,,,,,,
22016-21,2.84,,,,,,,,,,,,,
22016-22,2.96,,,,,,,,,,,,,
22016-23,2.96,,,,,,,,,,,,,
22016-24,2.89,,,,,,,,,,,,,
12017-1,3.49,,,,,,,,,,,,,
12017-2,3.09,,,,,,,,,,,,,
12017-3,C,,,,,,,,,,,,,
12017-4,C,,,,,,,,,,,,,
12017-5,2.45,,,,,,,,,,,,,
12017-6,3.69,,,,,,,,,,,,,
12017-7,3.2,,,,,,,,,,,,,
12017-8,3.49,,,,,,,,,,,,,
12017-9,C,,,,,,,,,,,,,
12017-10,3.88,,,,,,,,,,,,,
12017-11,3.61,,,,,,,,,,,,,
12017-12,3.97,,,,,,,,,,,,,
12017-13,2.75,,,,,,,,,,,,,
12017-14,2.88,,,,,,,,,,,,,
12017-15,3.47,,,,,,,,,,,,,
12017-16,C,,,,,,,,,,,,,
12017-17,C,,,,,,,,,,,,,
12017-18,3.47,,,,,,,,,,,,,
12017-19,C,,,,,,,,,,,,,
12017-20,2.67,,,,,,,,,,,,,
12017-21,2.79,,,,,,,,,,,,,
12017-22,3.71,,,,,,,,,,,,,
12017-23,C,,,,,,,,,,,,,
12017-24,C,,,,,,,,,,,,,
12017-25,3.19,,,,,,,,,,,,,
220175-01,C,,,,,,,,,,,,,
220175-02,3.1,,,,,,,,,,,,,
220175-03,3.2,,,,,,,,,,,,,
220175-04,3.3,,,,,,,,,,,,,
220175-05,3.1,,,,,,,,,,,,,
